Date,CashIn,CashOut
6/23/2016,13200,22390
6/24/2016,35650,21670
6/25/2016,44750,34060
6/26/2016,26900,18470
6/27/2016,48400,25290
6/28/2016,66680,30910
6/29/2016,19500,18730
6/30/2016,59610,49090
7/1/2016,35920,50960
7/2/2016,85830,19940
7/3/2016,15050,6410
7/4/2016,42930,65900
7/5/2016,4780,9740
7/6/2016,7200,9730
7/7/2016,5660,11550
7/8/2016,49890,17340
7/9/2016,8870,12940
7/10/2016,7630,14790
7/11/2016,65910,48580
7/12/2016,21190,34330
7/13/2016,39590,30490
7/14/2016,20910,22220
7/15/2016,26450,76120
7/16/2016,22490,55530
7/17/2016,17620,6270
7/18/2016,51740,40380
7/19/2016,63510,37010
7/20/2016,31040,26460
7/21/2016,46990,31910
7/22/2016,35620,40880
7/23/2016,46900,33560
7/24/2016,1750,12610
7/25/2016,,7120
7/26/2016,700,4460
7/27/2016,,7910
7/28/2016,440,11500
7/29/2016,2750,7780
7/30/2016,34570,7120
7/31/2016,15600,12300
8/1/2016,69870,38270
8/2/2016,42550,26540
8/3/2016,73710,0
8/4/2016,66320,43200
8/5/2016,36950,45690
8/6/2016,36180,62740
8/7/2016,11780,21550
8/8/2016,45350,33350
8/9/2016,75000,47280
8/10/2016,52970,33830
8/11/2016,45860,23090
8/12/2016,32040,32320
8/13/2016,47280,34500
8/14/2016,14420,12830
8/15/2016,33550,54490
8/16/2016,68490,39380
8/17/2016,54660,13270
8/18/2016,35460,25800
8/19/2016,41160,32360
8/20/2016,25990,33320
8/21/2016,15960,10630
8/22/2016,40200,33560
8/23/2016,52520,26040
8/24/2016,36150,18070
8/25/2016,29560,20010
8/26/2016,57740,24220
8/27/2016,21820,34610
8/28/2016,6190,13320
8/29/2016,21950,20510
8/30/2016,31800,16830
8/31/2016,44610,14460
9/1/2016,19080,22690
9/2/2016,1320,4960
9/3/2016,6260,14500
9/4/2016,3440,10760
9/5/2016,25230,48070
9/6/2016,5540,39970
9/7/2016,28810,47120
9/8/2016,1870,16080
9/9/2016,4000,29160
9/10/2016,550,43140
9/11/2016,,12960
9/12/2016,1000,15620
9/13/2016,3850,9590
9/14/2016,1060,7750
9/15/2016,4390,19520
9/16/2016,11470,20200
9/17/2016,5080,10840
9/18/2016,2520,16300
9/19/2016,11620,35700
9/20/2016,12690,14530
9/21/2016,29510,12660
9/22/2016,26190,21440
9/23/2016,14540,15630
9/24/2016,4480,25270
9/25/2016,10480,8490
9/26/2016,8280,22610
9/27/2016,,
9/28/2016,,
9/29/2016,,
9/30/2016,,
10/1/2016,,
10/2/2016,,
10/3/2016,,
10/4/2016,,
10/5/2016,,
10/6/2016,,
10/7/2016,,
10/8/2016,,
10/9/2016,,
10/10/2016,,
10/11/2016,39640,12380
10/12/2016,31730,18080
10/13/2016,31370,18040
10/14/2016,17510,20060
10/15/2016,29760,50640
10/16/2016,21360,35950
10/17/2016,74410,27430
10/18/2016,33370,34640
10/19/2016,15990,22320
10/20/2016,32230,20070
10/21/2016,43270,22010
10/22/2016,51480,21830
10/23/2016,36240,6320
10/24/2016,37610,23390
10/25/2016,33180,13870
10/26/2016,17730,16150
10/27/2016,27870,24060
10/28/2016,24930,14430
10/29/2016,,
10/30/2016,6990,7210
10/31/2016,54150,27200
11/1/2016,23890,24560
11/2/2016,31860,30570
11/3/2016,27890,21350
11/4/2016,58770,37680
11/5/2016,19390,58310
11/6/2016,12000,28360
11/7/2016,52780,53950
11/8/2016,55420,55310
11/9/2016,43770,40590
11/10/2016,20150,28480
11/11/2016,34580,29040
11/12/2016,13000,25620
11/13/2016,17650,10490
11/14/2016,22890,17600
11/15/2016,53300,45540
11/16/2016,49390,24300
11/17/2016,47740,4780
11/18/2016,19380,22450
11/19/2016,69680,17380
11/20/2016,49900,13430
11/21/2016,20720,33610
11/22/2016,47110,17740
11/23/2016,26710,22530
11/24/2016,24200,12960
11/25/2016,34420,11660
11/26/2016,40250,28600
11/27/2016,19210,11470
11/28/2016,17930,21780
11/29/2016,19130,28420
11/30/2016,12400,13790
12/1/2016,1730,490
12/2/2016,4690,10430
12/3/2016,3630,13690
12/4/2016,1100,4100
12/5/2016,11290,6180
12/6/2016,10860,38780
12/7/2016,4480,23330
12/8/2016,16710,29690
12/9/2016,13150,26370
12/10/2016,13890,16680
12/11/2016,740,3280
12/12/2016,9290,7140
12/13/2016,5850,8090
12/14/2016,5820,9230
12/15/2016,8750,18240
12/16/2016,8780,3710
12/17/2016,9930,5620
12/18/2016,9210,5970
12/19/2016,18110,5060
12/20/2016,12000,6450
12/21/2016,5220,2850
12/22/2016,20700,14180
12/23/2016,26560,20990
12/24/2016,23940,17730
12/25/2016,13980,10420
12/26/2016,61030,17270
12/27/2016,22230,6290
12/28/2016,75520,30320
12/29/2016,42250,18700
12/30/2016,42510,33030
12/31/2016,3200,25610
1/1/2017,,10570
1/2/2017,51560,38860
1/3/2017,59310,22700
1/4/2017,42060,29750
1/5/2017,40870,44720
1/6/2017,18210,50960
1/7/2017,22750,43440
1/8/2017,20710,16670
1/9/2017,28010,52410
1/10/2017,18990,32350
1/11/2017,26480,31570
1/12/2017,20720,18320
1/13/2017,22730,21690
1/14/2017,49060,18640
1/15/2017,24690,38450
1/16/2017,53130,45390
1/17/2017,40430,35630
1/18/2017,25100,34900
1/19/2017,13580,35620
1/20/2017,35050,31370
1/21/2017,25770,27910
1/22/2017,6510,12380
1/23/2017,44940,33760
1/24/2017,39630,17490
1/25/2017,29710,13410
1/26/2017,44990,17500
1/27/2017,53010,20320
1/28/2017,15190,22580
1/29/2017,17950,11630
1/30/2017,29370,18360
1/31/2017,16910,14550
2/1/2017,24530,38960
2/2/2017,36470,35540
2/3/2017,11790,35410
2/4/2017,30280,44770
2/5/2017,9190,12860
2/6/2017,59670,35800
2/7/2017,30180,96110
2/8/2017,58600,76680
2/9/2017,24570,59300
2/10/2017,14840,34430
2/11/2017,19690,17130
2/12/2017,28550,21300
2/13/2017,50620,34850
2/14/2017,,
2/15/2017,,
2/16/2017,,
2/17/2017,,
2/18/2017,21320,5030
2/19/2017,23250,12390
2/20/2017,50480,26500
2/21/2017,23460,22200
2/22/2017,24930,20820
2/23/2017,36330,18520
2/24/2017,26600,21240
2/25/2017,,21330
2/26/2017,8780,9760
2/27/2017,79240,25180
2/28/2017,52100,37030
3/1/2017,36750,38720
3/2/2017,29120,34800
3/3/2017,22580,23500
3/4/2017,22000,51170
3/5/2017,15640,20060
3/6/2017,75400,57180
3/7/2017,27450,73290
3/8/2017,74690,74430
3/9/2017,35780,30960
3/10/2017,29040,42220
3/11/2017,28170,27880
3/12/2017,22270,21110
3/13/2017,52920,37490
3/14/2017,27710,21400
3/15/2017,50640,54770
3/16/2017,15580,52940
3/17/2017,13830,35100
3/18/2017,27560,51850
3/19/2017,18870,18610
3/20/2017,38290,30720
3/21/2017,36220,31210
3/22/2017,26420,12190
3/23/2017,,
3/24/2017,,
3/25/2017,,
3/26/2017,,
3/27/2017,40320,18560
3/28/2017,27710,24320
3/29/2017,37400,19200
3/30/2017,,26800
3/31/2017,26820,27930
4/1/2017,13470,45850
4/2/2017,20550,19200
4/3/2017,43470,23460
4/4/2017,33550,31640
4/5/2017,39830,66540
4/6/2017,69710,62890
4/7/2017,29350,89180
4/8/2017,30440,78660
4/9/2017,13480,19690
4/10/2017,25480,63690
4/11/2017,47930,46170
4/12/2017,32240,52540
4/13/2017,11730,19820
4/14/2017,35360,30240
4/15/2017,28740,63360
4/16/2017,15990,16380
4/17/2017,,
4/18/2017,29490,14920
4/19/2017,34770,32300
4/20/2017,67890,31630
4/21/2017,37930,23890
4/22/2017,30680,25280
4/23/2017,,9730
4/24/2017,52890,15810
4/25/2017,29000,23200
4/26/2017,48960,30720
4/27/2017,35800,38770
4/28/2017,30650,37220
4/29/2017,39180,22680
4/30/2017,25920,16600
5/1/2017,28930,22280
5/2/2017,61930,46260
5/3/2017,24370,21580
5/4/2017,,21890
5/5/2017,,
5/6/2017,,
5/7/2017,,
5/8/2017,,
5/9/2017,,
5/10/2017,,1500
5/11/2017,,
5/12/2017,26580,26520
5/13/2017,25190,29220
5/14/2017,10660,20950
5/15/2017,44470,85320
5/16/2017,48770,41750
5/17/2017,37060,6790
5/18/2017,44820,26430
5/19/2017,20530,38620
5/20/2017,17430,46130
5/21/2017,10000,8900
5/22/2017,45120,40250
5/23/2017,48150,38610
5/24/2017,41630,22520
5/25/2017,30750,10070
5/26/2017,24120,9400
5/27/2017,21910,19840
5/28/2017,17320,12740
5/29/2017,26570,9210
5/30/2017,35440,19970
5/31/2017,49170,40260
6/1/2017,27070,49440
6/2/2017,6800,32510
6/3/2017,,37130
6/4/2017,14090,25390
6/5/2017,61120,38930
6/6/2017,29600,46160
6/7/2017,72920,94090
6/8/2017,32580,54660
6/9/2017,37060,12660
6/10/2017,27730,50700
6/11/2017,18720,13920
6/12/2017,31780,40260
6/13/2017,32550,15510
6/14/2017,33320,22870
6/15/2017,48020,64270
6/16/2017,41630,23860
6/17/2017,31200,27550
6/18/2017,26870,14520
6/19/2017,42910,16440
6/20/2017,61280,29990
6/21/2017,40130,38100
6/22/2017,57920,58510
6/23/2017,,
6/24/2017,38600,16810
6/25/2017,12840,13030
6/26/2017,16230,7750
6/27/2017,9850,12890
6/28/2017,49890,23060
6/29/2017,57520,13670
6/30/2017,51870,28220
7/1/2017,11880,33830
7/2/2017,9550,19830
7/3/2017,42740,5510
7/4/2017,41670,25220
7/5/2017,51870,43340
7/6/2017,53030,63050
7/7/2017,38760,68970
7/8/2017,42960,70650
7/9/2017,19600,43390
7/10/2017,30560,33170
7/11/2017,44870,38530
7/12/2017,38460,24660
7/13/2017,54540,31900
7/14/2017,39790,31900
7/15/2017,30410,39110
7/16/2017,25580,22600
7/17/2017,87160,30860
7/18/2017,34110,18320
7/19/2017,,47290
7/20/2017,,31580
7/21/2017,19830,34120
7/22/2017,24120,36600
7/23/2017,18360,8760
7/24/2017,39460,37950
7/25/2017,49020,20300
7/26/2017,57270,26560
7/27/2017,63610,12940
7/28/2017,,19450
7/29/2017,9150,42160
7/30/2017,15330,7170
7/31/2017,66250,43700
8/1/2017,31120,52420
8/2/2017,60030,18690
8/3/2017,37820,37730
8/4/2017,51590,46390
8/5/2017,39360,48470
8/6/2017,32730,45020
8/7/2017,47870,47550
8/8/2017,35580,92800
8/9/2017,30850,58100
8/10/2017,26240,41300
8/11/2017,61660,37750
8/12/2017,33240,28940
8/13/2017,26180,16990
8/14/2017,42100,25060
8/15/2017,65310,55290
8/16/2017,15610,30960
8/17/2017,43960,2480
8/18/2017,,
8/19/2017,21090,31200
8/20/2017,14160,23360
8/21/2017,46170,29350
8/22/2017,42850,27120
8/23/2017,50310,12910
8/24/2017,71810,19010
8/25/2017,26070,42830
8/26/2017,45040,11970
8/27/2017,27660,28030
8/28/2017,56910,44540
8/29/2017,,57990
8/30/2017,29500,81120
8/31/2017,61590,41570
9/1/2017,32280,36800
9/2/2017,2840,10570
9/3/2017,11760,18270
9/4/2017,8860,14310
9/5/2017,94930,47890
9/6/2017,37440,44160
9/7/2017,47530,35730
9/8/2017,11610,13800
9/9/2017,,
9/10/2017,8890,11130
9/11/2017,65530,39840
9/12/2017,33070,28040
9/13/2017,35710,24510
9/14/2017,46540,22790
9/15/2017,67950,41920
9/16/2017,,
9/17/2017,,
9/18/2017,51510,42010
9/19/2017,46580,30080
9/20/2017,39540,16470
9/21/2017,51590,18870
9/22/2017,47300,19210
9/23/2017,41130,27880
9/24/2017,52300,13800
9/25/2017,54460,21920
9/26/2017,52110,37430
9/27/2017,89900,25040
9/28/2017,20390,10780
9/29/2017,49920,21920
9/30/2017,44690,42480
10/1/2017,25570,11920
10/2/2017,67510,40510
10/3/2017,23490,29440
10/4/2017,,37990
10/5/2017,30260,105450
10/6/2017,39950,88230
10/7/2017,32550,69860
10/8/2017,25950,27720
10/9/2017,81000,77390
10/10/2017,11720,51850
10/11/2017,,29480
10/12/2017,,7290
10/13/2017,26140,48430
10/14/2017,43730,36120
10/15/2017,18910,30320
10/16/2017,42190,51790
10/17/2017,11480,48940
10/18/2017,51190,36070
10/19/2017,56100,24000
10/20/2017,34140,40740
10/21/2017,11420,49610
10/22/2017,25090,19080
10/23/2017,65830,20830
10/24/2017,56000,18720
10/25/2017,47110,36000
10/26/2017,48050,22560
10/27/2017,28040,40320
10/28/2017,500,14080
10/29/2017,400,6840
10/30/2017,,17630
10/31/2017,370,25810
11/1/2017,13980,44220
11/2/2017,74330,43510
11/3/2017,46450,54500
11/4/2017,43280,3730
11/5/2017,7820,12810
11/6/2017,95430,68710
11/7/2017,,
11/8/2017,,
11/9/2017,4190,28230
11/10/2017,21120,3150
11/11/2017,,
11/12/2017,,
11/13/2017,78130,1840
11/14/2017,42640,2650
11/15/2017,,
11/16/2017,32820,2760
11/17/2017,30930,1910
11/18/2017,,
11/19/2017,8850,7170
11/20/2017,20120,25130
11/21/2017,26790,29100
11/22/2017,53310,39350
11/23/2017,31410,27420
11/24/2017,13780,14860
11/25/2017,,
11/26/2017,,
11/27/2017,,
11/28/2017,13940,28710
11/29/2017,48420,18510
11/30/2017,36000,57970
12/1/2017,9650,31050
12/2/2017,21040,50600
12/3/2017,16280,1200
12/4/2017,25220,30270
12/5/2017,30580,90790
12/6/2017,50600,63530
12/7/2017,35350,63490
12/8/2017,26870,65050
12/9/2017,33430,26840
12/10/2017,13520,18910
12/11/2017,22450,33970
12/12/2017,46060,15050
12/13/2017,48340,17270
12/14/2017,30330,10940
12/15/2017,48040,33700
12/16/2017,26380,36130
12/17/2017,19630,15660
12/18/2017,6150,32860
12/19/2017,15420,16470
12/20/2017,56930,17920
12/21/2017,32360,15600
12/22/2017,53500,34730
12/23/2017,35340,29870
12/24/2017,18220,9770
12/25/2017,69190,20450
12/26/2017,44150,28510
12/27/2017,36020,29660
12/28/2017,23770,36760
12/29/2017,39640,33570
12/30/2017,38250,43550
12/31/2017,7500,19370
1/1/2018,22430,26630
1/2/2018,48030,60140
1/3/2018,62370,32410
1/4/2018,46750,26390
1/5/2018,25870,87760
1/6/2018,50930,111700
1/7/2018,9690,31770
1/8/2018,59270,33700
1/9/2018,38380,37000
1/10/2018,57760,46310
1/11/2018,44740,49490
1/12/2018,16930,16270
1/13/2018,30370,19440
1/14/2018,11920,14090
1/15/2018,52980,53150
1/16/2018,71530,39240
1/17/2018,30080,29200
1/18/2018,44530,20710
1/19/2018,56410,39300
1/20/2018,11490,21950
1/21/2018,18740,7390
1/22/2018,32050,18810
1/23/2018,31410,27550
1/24/2018,51820,16780
1/25/2018,49360,20830
1/26/2018,29830,20340
1/27/2018,30640,28120
1/28/2018,20690,12350
1/29/2018,64680,27950
1/30/2018,46200,23850
1/31/2018,44140,24730
2/1/2018,46930,42810
2/2/2018,40140,48080
2/3/2018,20820,40360
2/4/2018,30140,19020
2/5/2018,69950,67190
2/6/2018,49150,95440
2/7/2018,41490,82660
2/8/2018,49150,43200
2/9/2018,20320,68810
2/10/2018,69450,51920
2/11/2018,8290,11000
2/12/2018,56920,40900
2/13/2018,41130,29010
2/14/2018,25720,18600
2/15/2018,47760,66750
2/16/2018,45040,63470
2/17/2018,19580,25750
2/18/2018,,
2/19/2018,100,35580
2/20/2018,,28030
2/21/2018,5510,19950
2/22/2018,25070,32410
2/23/2018,28080,57500
2/24/2018,17740,14300
2/25/2018,11180,
2/26/2018,56510,
2/27/2018,36000,9140
2/28/2018,43890,33180
3/1/2018,20920,40760
3/2/2018,43700,32410
3/3/2018,32570,53320
3/4/2018,10180,10320
3/5/2018,86640,66240
3/6/2018,72180,95380
3/7/2018,56570,100000
3/8/2018,40370,66330
3/9/2018,48960,56530
3/10/2018,18330,11110
3/11/2018,14800,24920
3/12/2018,75290,40180
3/13/2018,52530,33810
3/14/2018,50630,16090
3/15/2018,57920,63380
3/16/2018,41390,58380
3/17/2018,28580,34310
3/18/2018,6670,18480
3/19/2018,50330,41260
3/20/2018,57990,18610
3/21/2018,50130,19710
3/22/2018,55640,40050
3/23/2018,72610,40720
3/24/2018,34060,27320
3/25/2018,8900,1690
3/26/2018,64800,20170
3/27/2018,27930,17530
3/28/2018,37020,17250
3/29/2018,17790,26440
3/30/2018,29880,34070
3/31/2018,49580,61810
4/1/2018,13580,19930
4/2/2018,44220,50010
4/3/2018,57290,53910
4/4/2018,74240,28040
4/5/2018,29970,90750
4/6/2018,38020,63850
4/7/2018,,
4/8/2018,17660,29940
4/9/2018,62510,40010
4/10/2018,21940,36570
4/11/2018,45650,45400
4/12/2018,33830,25430
4/13/2018,28890,39450
4/14/2018,30890,55340
4/15/2018,34850,18870
4/16/2018,52880,52680
4/17/2018,35280,34310
4/18/2018,27710,28460
4/19/2018,68490,25650
4/20/2018,43270,24710
4/21/2018,,
4/22/2018,26510,6880
4/23/2018,47940,27530
4/24/2018,63910,23370
4/25/2018,61260,19740
4/26/2018,59850,15880
4/27/2018,45480,19580
4/28/2018,21400,26370
4/29/2018,13680,11720
4/30/2018,61110,26550
5/1/2018,26500,40810
5/2/2018,43370,26240
5/3/2018,79060,39730
5/4/2018,40350,29320
5/5/2018,20150,67010
5/6/2018,13240,18560
5/7/2018,78160,96540
5/8/2018,51450,60340
5/9/2018,47350,25740
5/10/2018,39440,31050
5/11/2018,53020,31860
5/12/2018,,
5/13/2018,29820,18870
5/14/2018,61950,43390
5/15/2018,47750,49690
5/16/2018,63120,45920
5/17/2018,52250,34480
5/18/2018,22370,49380
5/19/2018,33060,49400
5/20/2018,20760,12940
5/21/2018,71710,28420
5/22/2018,50690,37510
5/23/2018,43730,17370
5/24/2018,26080,41280
5/25/2018,30560,41690
5/26/2018,,
5/27/2018,25700,16040
5/28/2018,72640,30790
5/29/2018,33130,15110
5/30/2018,29650,17720
5/31/2018,29400,30910
6/1/2018,58120,36990
6/2/2018,,
6/3/2018,23990,9630
6/4/2018,46960,52010
6/5/2018,36140,69550
6/6/2018,64570,66820
6/7/2018,62480,62250
6/8/2018,27600,49030
6/9/2018,,
6/10/2018,23640,24800
6/11/2018,91860,45430
6/12/2018,49000,60170
6/13/2018,89840,108190
6/14/2018,43070,53400
6/15/2018,23870,16800
6/16/2018,29090,7050
6/17/2018,21570,16220
6/18/2018,31740,17850
6/19/2018,,
6/20/2018,41360,16410
6/21/2018,26120,21510
6/22/2018,,
6/23/2018,21590,5800
6/24/2018,,
6/25/2018,,
6/26/2018,,
6/27/2018,63900,22260
6/28/2018,46420,17180
6/29/2018,45860,7500
6/30/2018,31390,42170
7/1/2018,27590,15950
7/2/2018,102070,44540
7/3/2018,39200,35390
7/4/2018,39720,38290
7/5/2018,80160,63070
7/6/2018,69420,50560
7/7/2018,53700,82080
7/8/2018,30510,34240
7/9/2018,50730,45730
7/10/2018,43560,60340
7/11/2018,41300,40710
7/12/2018,35760,25130
7/13/2018,57090,55250
7/14/2018,18410,53840
7/15/2018,17050,27290
7/16/2018,63650,56800
7/17/2018,37020,56000
7/18/2018,54670,20400
7/19/2018,43340,31730
7/20/2018,55530,44170
7/21/2018,,
7/22/2018,18950,1650
7/23/2018,53370,19400
7/24/2018,67800,25450
7/25/2018,75360,41410
7/26/2018,60150,35370
7/27/2018,55300,48880
7/28/2018,24910,25290
7/29/2018,9460,15320
7/30/2018,60600,
7/31/2018,52250,31890
8/1/2018,52460,33060
8/2/2018,30050,21440
8/3/2018,31710,54090
8/4/2018,,
8/5/2018,15580,29340
8/6/2018,52350,51030
8/7/2018,40690,58300
8/8/2018,48080,59080
8/9/2018,61510,35410
8/10/2018,47670,65650
8/11/2018,50680,33880
8/12/2018,15800,11210
8/13/2018,60690,33350
8/14/2018,71410,66510
8/15/2018,97140,
8/16/2018,103200,47350
8/17/2018,104760,80440
8/18/2018,34980,88650
8/19/2018,14210,42680
8/20/2018,31310,30760
8/21/2018,10170,18180
8/22/2018,16490,16170
8/23/2018,9940,12160
8/24/2018,29870,12370
8/25/2018,27260,15720
8/26/2018,51130,21320
8/27/2018,112790,27630
8/28/2018,67160,24610
8/29/2018,72230,19490
8/30/2018,30910,19420
8/31/2018,71700,40200
9/1/2018,36360,52890
9/2/2018,,
9/3/2018,68240,47490
9/4/2018,60750,35150
9/5/2018,77010,37590
9/6/2018,53920,26900
9/7/2018,35610,66930
9/8/2018,79510,70060
9/9/2018,37260,24190
9/10/2018,76230,46640
9/11/2018,70120,33200
9/12/2018,49740,39270
9/13/2018,56420,25300
9/14/2018,54450,39510
9/15/2018,,
9/16/2018,27030,26250
9/17/2018,109030,67290
9/18/2018,37360,39140
9/19/2018,42180,29410
9/20/2018,75100,13760
9/21/2018,106850,34260
9/22/2018,,
9/23/2018,23980,14610
9/24/2018,66570,41180
9/25/2018,58510,44730
9/26/2018,45030,16720
9/27/2018,45670,29460
9/28/2018,112200,42830
9/29/2018,38530,40750
9/30/2018,41610,12840
10/1/2018,121300,49240
10/2/2018,47690,43370
10/3/2018,71460,48570
10/4/2018,86650,39610
10/5/2018,38270,93010
10/6/2018,57760,72280
10/7/2018,18030,3570
10/8/2018,109860,
10/9/2018,48600,
10/10/2018,34480,22580
10/11/2018,34400,31790
10/12/2018,43960,29450
10/13/2018,23380,40010
10/14/2018,36580,28890
10/15/2018,89120,91000
10/16/2018,43390,35100
10/17/2018,51760,24260
10/18/2018,58540,32000
10/19/2018,33140,36790
10/20/2018,,
10/21/2018,21970,15960
10/22/2018,60780,52440
10/23/2018,80310,16950
10/24/2018,66050,18190
10/25/2018,54340,42550
10/26/2018,36210,37780
10/27/2018,30620,33900
10/28/2018,24900,13960
10/29/2018,34270,32730
10/30/2018,74070,34300
10/31/2018,50010,37520
11/1/2018,29250,32420
11/2/2018,44030,55480
11/3/2018,49010,30950
11/4/2018,26850,10940
11/5/2018,79600,64770
11/6/2018,74950,36220
11/7/2018,69960,66490
11/8/2018,77370,61400
11/9/2018,39340,35810
11/10/2018,31640,44320
11/11/2018,31590,10440
11/12/2018,62220,20680
11/13/2018,30830,23480
11/14/2018,36420,52960
11/15/2018,67150,88800
11/16/2018,56440,62170
11/17/2018,42820,48170
11/18/2018,30900,22990
11/19/2018,48720,45480
11/20/2018,23350,37550
11/21/2018,47300,30130
11/22/2018,32700,11480
11/23/2018,36650,2860
11/24/2018,32400,
11/25/2018,26810,
11/26/2018,62080,
11/27/2018,60360,3020
11/28/2018,47390,23030
11/29/2018,38940,28660
11/30/2018,59540,30900
12/1/2018,26220,40560
12/2/2018,,
12/3/2018,,
12/4/2018,41360,34840
12/5/2018,71170,48380
12/6/2018,17240,3990
12/7/2018,85930,71280
12/8/2018,33920,57050
12/9/2018,19760,16030
12/10/2018,64260,39600
12/11/2018,66780,32620
12/12/2018,62670,30260
12/13/2018,37710,46900
12/14/2018,26570,38120
12/15/2018,50070,64480
12/16/2018,48980,30390
12/17/2018,106950,44160
12/18/2018,,
12/19/2018,34270,27300
12/20/2018,56300,37950
12/21/2018,75470,31640
12/22/2018,27040,47480
12/23/2018,24440,10300
12/24/2018,57150,30880
12/25/2018,44100,29220
12/26/2018,61190,24480
12/27/2018,42810,34790
12/28/2018,57660,53640
12/29/2018,,
12/30/2018,31670,13210
12/31/2018,73460,32000
1/1/2019,27510,19440
1/2/2019,58800,35700
1/3/2019,57580,33900
1/4/2019,39090,34970
1/5/2019,57920,47050
1/6/2019,15960,22820
